"Store_id","Store_Type","Location_Type","Region_Code","Latitude","Longitude"
44,"S1","L3","R2",39.0089688702719,-84.0553914820775
45,"S3","L1","R1",40.3591560711619,-80.9817388167139
46,"S2","L1","R2",38.9754238721216,-84.6015876256861
47,"S4","L2","R2",39.7473528970731,-83.1727781489026
48,"S1","L1","R2",38.8227581239771,-85.2636071040761
49,"S4","L1","R2",39.2469234042801,-85.9326288222801
50,"S3","L2","R4",33.8257756744279,-91.214598601684
51,"S1","L1","R2",38.7880349780899,-85.2198534291238
52,"S1","L1","R3",37.138934279792,-87.0846124226227
53,"S3","L1","R2",38.9825883066515,-85.7738562873565
54,"S1","L2","R3",36.8088015331887,-87.0064739610534
55,"S1","L1","R2",38.5419888579054,-83.244382028468
56,"S2","L5","R3",36.4227378536016,-86.7751404785085
57,"S4","L1","R1",40.3168038054137,-82.5720944637433
58,"S1","L1","R1",41.3806233693147,-81.9217013870366
59,"S1","L3","R1",41.6215771105606,-82.2634847974405
60,"S1","L5","R2",39.8366714686854,-85.1316416347399
61,"S1","L1","R3",37.3673930410296,-86.7792161384132
62,"S2","L5","R1",40.261229123571,-82.4024847964756
63,"S1","L1","R2",39.0823069956386,-84.5598609764129
64,"S3","L1","R2",38.7407126387116,-83.7131748013198
65,"S1","L2","R2",39.7938278462971,-85.0141642249655
66,"S3","L3","R3",36.3152613155544,-86.2690906692296
67,"S2","L5","R1",41.477109400183,-80.0275288019329
68,"S1","L2","R4",34.1888612258481,-91.0699252143968
69,"S1","L1","R4",33.8622533751186,-91.5886073620059
70,"S1","L1","R3",36.0184896821156,-86.7103542762343
71,"S2","L5","R1",41.3826077696867,-81.3258612747304
72,"S1","L2","R3",36.2316909465007,-88.3198184838984
73,"S3","L2","R4",33.9304364288691,-89.5581303846557
74,"S3","L1","R2",38.6491687350208,-85.6219184044749
75,"S3","L2","R3",36.0255926083773,-88.8651767410338
76,"S2","L3","R3",37.4372823359445,-86.9912947597913
77,"S2","L5","R3",36.4769909647293,-86.7611684801523
78,"S1","L1","R4",34.4728345229523,-91.7986381433439
79,"S2","L5","R4",34.8744586094981,-90.6943746937905
80,"S1","L1","R1",40.2889302213909,-81.3138654308859
81,"S3","L2","R1",40.5141531036235,-81.3479307251982
82,"S4","L2","R1",41.2356944986619,-81.2229041431565
83,"S2","L5","R1",40.8099995254539,-80.8165614118334
84,"S1","L1","R3",37.2682672147639,-87.0778699994553
85,"S4","L2","R1",40.2748698952375,-81.1566495054867
86,"S1","L1","R4",33.5037182153901,-90.022377145011
87,"S4","L2","R3",36.0900185424834,-86.1651492619421
88,"S2","L5","R2",38.8607960523805,-84.6400998800527
89,"S1","L4","R1",41.6069974033395,-81.114298774628
90,"S1","L1","R3",36.6233512177132,-86.0857156182174
91,"S3","L1","R1",40.3221826756606,-82.7531898738816
92,"S1","L4","R2",39.7177411240991,-83.3100678059272
93,"S1","L1","R4",34.6827078935457,-90.0714195738547
94,"S4","L2","R2",38.7323675886728,-84.4901449661702
95,"S3","L1","R1",40.6446345122298,-82.562270374503
96,"S3","L1","R3",35.6517142606899,-86.5931488990318
97,"S4","L1","R1",41.4299003122374,-81.54064976261
98,"S2","L5","R2",39.1960249402327,-85.6685196647886
99,"S1","L1","R3",36.1791110280901,-88.9660189794376
100,"S1","L1","R2",39.3774048360065,-84.3650707190391
101,"S1","L4","R3",35.5082138809375,-87.1781933072489
102,"S4","L2","R1",40.6658000185387,-81.444088408025
103,"S1","L3","R3",36.4259504224174,-86.8723740219139
104,"S1","L1","R2",38.9242785994429,-84.7345636473037
105,"S4","L2","R1",40.920934075187,-80.1168169975281
106,"S1","L1","R4",34.7878871109569,-89.4786219645757
107,"S1","L3","R3",36.9076259001158,-88.1810678821057
108,"S1","L1","R4",34.2336372478167,-89.1408742952626
109,"S1","L1","R1",40.7981726201018,-82.8867974579334
110,"S2","L3","R3",35.6944789113477,-87.8430971940979
111,"S1","L1","R2",39.1667910953984,-84.5681470024865
112,"S1","L1","R3",36.9726680582389,-87.7544268572237
113,"S2","L3","R3",36.7254469371401,-87.37351448345
114,"S3","L1","R4",34.6780229276046,-91.368299763184
115,"S4","L2","R1",41.3250136648305,-80.735648044385
116,"S2","L3","R3",36.0255125556141,-88.9064472618047
117,"S1","L1","R3",37.2967216623947,-88.5030403884593
118,"S2","L1","R4",33.8835096755065,-91.7502474221401
119,"S1","L1","R3",35.9724698718637,-88.5728358877823
120,"S3","L2","R2",39.8990216185339,-85.0233209065627
121,"S1","L1","R4",34.7205025466392,-90.3666864621919
122,"S1","L1","R2",38.6915585318347,-85.9850264640991
123,"S4","L2","R3",37.4834904707968,-86.4379158874508
124,"S3","L2","R3",36.9302670555189,-88.0085331785958
125,"S4","L2","R1",40.7281310719205,-82.2270560117904
126,"S4","L2","R2",39.9571571002016,-83.5451234926004
127,"S4","L2","R2",38.6057334665675,-85.6463246101048
128,"S1","L2","R2",39.1896777898073,-84.0099269866478
129,"S3","L1","R1",40.3412417432293,-82.1960912023205
130,"S1","L1","R3",37.278042985592,-88.1592105203308
131,"S4","L2","R1",41.1527360217646,-81.5776493977755
132,"S1","L1","R3",35.5847213575616,-88.349645301234
133,"S1","L1","R4",33.8390955572249,-89.1881268811412
134,"S1","L4","R1",41.3530321544735,-81.3253880897537
135,"S1","L1","R4",34.2964036007179,-91.7383034385275
136,"S2","L5","R4",33.5069572262,-89.4753259830177
137,"S4","L1","R1",41.4970692822477,-82.2666607089341
138,"S1","L1","R1",41.4366786378901,-82.6088644634001
139,"S4","L2","R2",38.6199593684869,-85.2269582787994
140,"S4","L1","R1",40.8470336116152,-81.859987254953
141,"S1","L1","R2",38.7670207219198,-85.934720620513
142,"S2","L1","R3",35.8395381001756,-88.4177972993348
143,"S3","L2","R3",37.023970646318,-86.5505098425783
144,"S1","L3","R3",36.554789881222,-87.1416438200977
145,"S1","L3","R1",41.5326398421079,-81.293848910369
146,"S4","L2","R1",40.492975029489,-82.33759176475
147,"S4","L2","R4",33.9826161370147,-90.8623707392253
148,"S1","L1","R2",39.7901602691272,-83.1608133187983
149,"S2","L3","R2",39.09349095996,-83.2073497765232
150,"S4","L2","R1",41.3446298494004,-80.6468054782599
151,"S1","L3","R2",38.7576151089743,-84.0501840549987
152,"S2","L1","R1",40.9457963540452,-82.565320558846
153,"S4","L2","R1",40.7594453507336,-82.0350878685713
154,"S1","L3","R2",38.5939749975223,-83.2338143365923
155,"S3","L1","R2",39.7226222426398,-85.492278158199
156,"S1","L1","R3",37.38519772375,-86.0673526886385
157,"S4","L2","R1",41.0722900337772,-81.6225245741662
158,"S4","L2","R2",38.9681691878941,-84.9037841092795
159,"S2","L1","R3",36.0188533402979,-87.9695832435973
160,"S4","L2","R1",40.4705841368297,-80.9741195011884
161,"S1","L1","R3",36.6313086869195,-86.2779039833695
162,"S4","L1","R2",39.8548503404018,-83.5290008711163
163,"S1","L2","R3",36.8392070918344,-88.1070083207451
164,"S1","L1","R3",36.5930455885828,-87.0243726121262
165,"S1","L1","R2",38.954331436893,-84.5120849420782
166,"S1","L1","R2",39.9087076009018,-85.8011950966902
167,"S1","L1","R2",39.5314113725908,-85.8870565083344
168,"S2","L3","R3",36.2618074002676,-87.3686032225378
169,"S1","L2","R4",33.7196353164036,-90.3039660190698
170,"S1","L1","R2",38.5592487967806,-84.7328411752824
171,"S4","L2","R3",37.3473984263837,-86.2863832723815
172,"S1","L1","R1",40.4125084343366,-82.0981384748593
173,"S4","L2","R1",41.568194989441,-80.7437399867922
174,"S1","L1","R4",33.6318419221789,-91.4544702540152
175,"S4","L2","R1",41.2360839045374,-81.6543256817386
176,"S4","L2","R3",36.5226291930303,-87.7037972263061
177,"S2","L1","R4",34.5878419280052,-91.8168752298225
178,"S3","L2","R3",37.3067245758139,-86.2877057145815
179,"S1","L1","R2",38.9152826087084,-83.8158459158149
180,"S1","L3","R2",39.6296651493758,-84.2856921472121
181,"S3","L1","R3",35.5077926861122,-87.594874688657
182,"S3","L1","R1",40.6311618803535,-81.6577313279267
183,"S1","L3","R1",41.3040935477708,-82.832969854353
184,"S1","L2","R2",39.703357325634,-84.5875387485139
185,"S1","L1","R3",36.127685144078,-86.4572611600161
186,"S2","L5","R2",38.9913960985141,-85.2573051129002
187,"S1","L1","R1",40.5505556434859,-82.1979613816366
188,"S3","L2","R1",41.0598037391202,-81.2041991802398
189,"S2","L3","R3",36.2678733430803,-88.9556162189692
190,"S3","L3","R1",41.633186462149,-80.0235246787779
191,"S3","L1","R1",40.5660832565511,-82.4264301175717
192,"S1","L1","R3",35.5838389969431,-88.7666843042243
193,"S2","L3","R4",34.3239196907962,-90.006934388075
194,"S1","L1","R2",39.2647643490927,-84.8673798323143
195,"S4","L1","R1",41.6934339515632,-82.989393515978
196,"S1","L1","R3",36.8689729459584,-86.7940579561982
197,"S2","L5","R1",40.7916154085426,-81.6858214868698
198,"S4","L2","R3",36.6093636588193,-88.6896818238311
199,"S1","L1","R4",34.7721615206683,-89.8989447653294
200,"S2","L1","R2",39.475392250577,-83.8679044907913
201,"S4","L1","R1",40.5058342456352,-82.2477906483691
202,"S4","L2","R2",39.092880642158,-85.9696528005879
203,"S2","L4","R2",39.7184572428232,-85.2291473965161
204,"S4","L1","R3",36.6927259215154,-86.8022315062117
205,"S1","L1","R2",39.8276989773149,-83.2194117584731
206,"S1","L1","R1",41.596419120091,-81.2774308009539
207,"S1","L1","R3",36.5519485482946,-88.1345167665277
208,"S3","L1","R1",40.5900067771785,-81.2300026176963
209,"S1","L1","R1",40.3900968996808,-82.3312149797566
210,"S1","L5","R1",40.3926919688471,-82.6895231041126
211,"S4","L2","R1",40.9194724293891,-80.7904819191899
212,"S4","L2","R3",36.4804483964108,-86.8660392973106
213,"S1","L1","R2",38.5275461255806,-85.3268835991621
214,"S1","L1","R4",34.5269130443921,-91.3511755343061
215,"S3","L2","R1",40.1810281666229,-80.7654918497428
216,"S2","L5","R1",41.2914502487052,-81.6955095629673
217,"S4","L1","R1",40.6982106853742,-82.4756745880004
218,"S1","L3","R2",39.781149966293,-84.0272143881302
219,"S4","L2","R1",41.4956172507256,-80.7126254367176
220,"S2","L4","R3",36.1081049381755,-87.3656834962312
221,"S1","L1","R2",38.72700725717,-83.4091840120964
222,"S4","L2","R2",38.9227175045526,-83.974998250138
223,"S2","L5","R2",39.5000577367609,-85.5155963334255
224,"S1","L2","R2",39.9660753651988,-85.9637290798128
225,"S1","L1","R1",40.1898347027134,-81.5631544231437
226,"S2","L5","R4",34.7091642142041,-91.6309905964881
227,"S4","L2","R1",40.9123371457448,-82.7101392925251
228,"S1","L1","R1",41.0524305482628,-80.1473292952869
229,"S1","L1","R2",38.6803556928644,-84.1527318074368
230,"S2","L4","R4",34.9630475196755,-90.4956345595419
231,"S4","L2","R3",36.5163161694072,-87.2482288035098
232,"S1","L1","R4",34.2330103027634,-89.4862179644406
233,"S1","L3","R3",36.7465227670036,-88.9719663707074
234,"S2","L4","R2",39.8415019381791,-84.8539430114906
235,"S1","L1","R3",37.3158928016201,-86.2765955668874
236,"S1","L1","R3",36.6388865495101,-88.667667320231
237,"S2","L3","R3",36.5965611478314,-87.6025369900744
238,"S1","L1","R2",38.8387276349822,-83.4622151001822
239,"S3","L1","R3",37.024056664668,-87.6036426175851
240,"S3","L2","R3",36.4567388934083,-86.3749383748509
241,"S1","L1","R4",33.7555534709245,-91.3845950351097
242,"S4","L1","R1",41.2259399914183,-82.0295908062253
243,"S4","L2","R2",39.7340760874795,-85.9554563334677
244,"S2","L5","R4",34.7658720621839,-91.3150379164144
245,"S4","L1","R2",39.061254081782,-85.7948444639333
246,"S3","L1","R3",36.7864431189373,-88.5838599666022
247,"S1","L1","R3",37.3962376755662,-87.3284175763838
248,"S1","L1","R2",38.5329905729741,-83.9726900025271
249,"S1","L3","R2",39.9895671705017,-85.8319397966843
250,"S2","L3","R4",34.481940117199,-91.436920103617
251,"S2","L3","R1",40.5372684689704,-80.6972021684051
252,"S3","L2","R1",40.4770394889172,-81.434312899597
253,"S4","L2","R1",41.1081776078558,-81.8164774486795
254,"S4","L1","R1",40.5547864346299,-80.1026394993532
255,"S3","L2","R4",34.3961777999066,-91.098895250354
256,"S1","L2","R4",33.5373474041699,-91.9517245718744
257,"S1","L3","R1",40.3857033779146,-80.9094828034285
258,"S2","L4","R4",33.6970673815813,-91.7367599194404
259,"S4","L1","R1",40.9016796719749,-82.6748617535923
260,"S1","L1","R4",33.6381941778818,-89.4919753624126
261,"S4","L2","R1",41.673703524936,-81.073623391334
262,"S1","L1","R1",41.5993618508102,-81.8086671864148
263,"S1","L5","R1",41.2461176322773,-80.028709228849
264,"S3","L1","R3",36.3003383567557,-87.8315619386267
265,"S2","L4","R2",38.9567166859051,-83.3682864503935
266,"S1","L1","R4",34.4733237194596,-90.0823396639898
267,"S4","L2","R1",40.671763050044,-82.0962447926868
268,"S1","L2","R1",40.6904518733965,-82.7164534081239
269,"S1","L4","R1",40.1340413109399,-82.9193734794389
270,"S1","L1","R2",38.6561179540586,-84.648162858095
271,"S1","L3","R2",38.8299747665878,-85.4091164087877
272,"S2","L4","R2",39.9309268716024,-84.1814375438262
273,"S2","L3","R4",34.3783506562468,-90.8862069873139
274,"S4","L2","R4",33.7231669656467,-89.2797594293952
275,"S4","L1","R1",41.4095679262653,-82.7974408136215
276,"S1","L1","R2",39.3907577396603,-84.9813837960828
277,"S1","L3","R1",41.7521885806462,-81.9397586383857
278,"S4","L1","R4",34.1083122832933,-90.4321880724747
279,"S2","L3","R2",39.0777873899788,-84.7423015017994
280,"S4","L2","R2",38.6354831263889,-85.8579849801026
281,"S1","L4","R1",41.3896083881613,-80.8446083466988
282,"S1","L2","R2",39.6184543259442,-85.4794638606254
283,"S4","L1","R1",40.7741938108578,-82.3891727325972
284,"S4","L2","R3",36.5139954537153,-86.7752545240801
285,"S1","L3","R3",35.5383820612915,-86.4519845654722
286,"S4","L2","R4",34.1953606457682,-90.7287708895747
287,"S1","L4","R1",40.2103781099664,-82.1568098866846
288,"S3","L2","R3",36.782925278414,-86.4472471675836
289,"S2","L5","R2",39.3506791992113,-83.4691050902475
290,"S1","L1","R3",36.0584476212971,-87.1547892454546
291,"S1","L3","R1",40.6061610304518,-82.3405045648105
292,"S1","L1","R1",40.271226689918,-80.7106798929162
293,"S2","L4","R2",38.5845733380411,-83.6302701102104
294,"S4","L2","R2",39.2543624561513,-85.2364767526742
295,"S1","L1","R1",41.3822205835255,-80.4773372025229
296,"S1","L1","R1",41.4882300089346,-80.2075367837679
297,"S2","L3","R4",34.5172965916572,-89.1407330427319
298,"S4","L1","R1",40.2761193964398,-82.1901733418927
299,"S1","L1","R3",36.0376068996266,-88.8899363542441
300,"S2","L5","R2",38.8529032870429,-83.8784787568729
301,"S1","L3","R2",38.6124351267936,-83.7727843450848
302,"S1","L4","R2",39.9034692208515,-85.2129308194853
303,"S4","L2","R1",41.4244120007381,-81.4282007690053
304,"S1","L1","R4",33.5798891547602,-90.2418708903715
305,"S4","L1","R1",41.1712241497822,-80.2061157606076
306,"S1","L3","R2",38.5301110137952,-83.466934787808
307,"S1","L5","R2",39.2819707695162,-83.2401727575343
308,"S4","L2","R3",36.6190917384811,-88.8304198111873
309,"S1","L5","R1",40.8691792701837,-82.550836768467
310,"S2","L5","R1",40.936898658867,-80.9706582578365
311,"S4","L2","R2",39.3809171862667,-83.4394049542025
312,"S4","L2","R1",40.8899321012199,-81.5850546716247
313,"S1","L3","R1",41.3125743012177,-80.5666994941421
314,"S1","L1","R2",39.1891370075755,-85.0557789520826
315,"S4","L2","R1",40.7031312657753,-81.4537703478709
316,"S4","L2","R1",41.4647808639565,-80.888831691118
317,"S3","L1","R1",41.5207050229423,-82.4573614699766
318,"S1","L3","R2",39.7468329683179,-83.6426743755583
319,"S3","L1","R2",39.8298491813475,-83.2948873976711
320,"S2","L3","R2",39.9289668609854,-84.4177773555275
321,"S3","L1","R2",39.3259250827832,-85.5256728548557
322,"S2","L3","R4",34.3842884757323,-90.2982825851068
323,"S1","L4","R1",40.3499821517849,-81.8376493935939
324,"S1","L2","R3",36.578821465373,-88.269357673591
325,"S3","L1","R2",38.8807311947457,-83.8308301337529
326,"S3","L1","R1",40.1573372140992,-82.0219450436998
327,"S4","L1","R3",36.8183958516456,-86.9166452737991
328,"S1","L3","R1",40.1592871669447,-80.9106366576161
329,"S4","L2","R3",36.0765324095264,-87.1732346389908
330,"S4","L2","R1",41.6556083947886,-81.8928132751025
331,"S1","L1","R4",33.6490194948856,-90.5454177823849
332,"S2","L5","R1",40.5866850927938,-81.6261026975699
333,"S1","L1","R3",36.1126225176267,-88.8685142186005
334,"S3","L2","R2",39.14291963703,-85.4634525082074
335,"S1","L1","R3",35.6554431086406,-86.4418028364889
336,"S4","L2","R1",40.9373631312978,-80.0851615911815
337,"S4","L2","R1",41.2855354025727,-82.6267377620097
338,"S4","L2","R1",41.1904860017821,-81.1091297701932
339,"S4","L2","R1",41.1946689554723,-80.8883989823516
340,"S4","L2","R3",36.6239263177849,-88.930539771216
341,"S1","L1","R2",39.4476833075751,-83.4316608377267
342,"S4","L1","R1",40.3029881259659,-82.863991695689
343,"S1","L1","R2",39.0646667397814,-84.0051393748727
344,"S1","L5","R1",40.4826246964047,-80.7640810720623
345,"S1","L1","R3",36.7802969729528,-88.7578305117786
346,"S4","L1","R1",40.7293651574291,-82.5409803537186
347,"S1","L1","R1",41.7716953073395,-81.6534044735599
348,"S3","L1","R1",40.7601424957626,-82.4410258622374
349,"S1","L1","R4",34.2475384889403,-90.6959382861387
350,"S1","L3","R2",39.2302343100309,-83.2953430120833
351,"S1","L4","R3",36.2846625079401,-87.1123419250362
352,"S4","L1","R1",41.7446981403511,-82.0238535450771
353,"S1","L3","R3",36.1392842386849,-87.811624432914
354,"S4","L2","R1",40.3772195596946,-82.8794006211683
355,"S2","L4","R2",38.6618303202558,-84.0175415377598
356,"S3","L3","R1",41.7761220808839,-80.1151146874763
357,"S4","L1","R1",41.2369115796871,-81.0172385375481
358,"S3","L1","R1",40.8121570247458,-82.9738477426581
359,"S2","L3","R2",39.8079982355703,-84.6302408920601
360,"S2","L1","R1",41.5199340439169,-80.850158453919
361,"S1","L3","R1",40.3444889741717,-82.9154536705464
362,"S1","L3","R3",35.6580113633536,-86.6685072258115
363,"S1","L1","R2",39.4191694734618,-84.4415117634926
364,"S2","L3","R2",39.6898362516658,-84.7614809272345
365,"S2","L1","R2",38.5342820251826,-83.5183491492644
